"filename", "language", "TypeScript JSX", "TypeScript", "JSON", "JavaScript", "comment", "blank", "total"
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Forms/TeamForm.tsx", "TypeScript JSX", 40, 0, 0, 0, 1, 10, 51
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/mediaPlayer/Explorer.tsx", "TypeScript JSX", 7, 0, 0, 0, 1, 2, 10
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/mediaPlayer/Index.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 2, 9
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/mediaPlayer/MediaItem.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 2, 7
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/signal/EditableField.tsx", "TypeScript JSX", 33, 0, 0, 0, 0, 9, 42
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/signal/Signal.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 3, 13
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder/signal/signalFinder/Index.tsx", "TypeScript JSX", -29, 0, 0, 0, 0, 0, -29
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Tables/Index.tsx", "TypeScript JSX", 56, 0, 0, 0, 0, 9, 65
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/TagFinder/Index.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 0, -1
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/TagFinder/TagReader.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 6
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/pages/Game.tsx", "TypeScript JSX", 98, 0, 0, 0, 2, 10, 110
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/pages/index.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 1, 5
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/redux/reducers/forms/gameForm.ts", "TypeScript", 0, 53, 0, 0, 0, 5, 58
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/redux/reducers/forms/playerForm.ts", "TypeScript", 0, 68, 0, 0, 4, 8, 80
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/redux/reducers/forms/teamForm.ts", "TypeScript", 0, 29, 0, 0, 0, 6, 35
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/redux/reducers/goblinFinder.ts", "TypeScript", 0, 4, 0, 0, 0, -1, 3
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/redux/reducers/index.ts", "TypeScript", 0, 10, 0, 0, 0, 1, 11
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/redux/reducers/reciever.ts", "TypeScript", 0, 35, 0, 0, 4, 7, 46
"Total", "-", 412, 404, 8657, 365, 17, 149, 10004
